"filename", "language", "SCSS", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\fd\resources\js\ADMIN\pages\ADMIN_products.js", "JavaScript", 0, -279, -7, -26, -312
"c:\xampp\htdocs\fd\resources\js\ADMIN\pages\ADMIN_statistics.js", "JavaScript", 0, -46, -6, -7, -59
"c:\xampp\htdocs\fd\resources\js\ADMIN\pages\ADMIN_stripe.js", "JavaScript", 0, -7, 0, -1, -8
"c:\xampp\htdocs\fd\resources\js\ADMIN\pages\ADMIN_stripeSuccess.js", "JavaScript", 0, -11, -25, -4, -40
"c:\xampp\htdocs\fd\resources\js\ADMIN\pages\ADMIN_testSpace.js", "JavaScript", 0, -53, -5, -7, -65
"c:\xampp\htdocs\fd\resources\js\ADMIN\pages\ADMIN_userAccounts.js", "JavaScript", 0, -5, -2, -1, -8
"c:\xampp\htdocs\fd\resources\js\ADMIN\products\productColorMenu.js", "JavaScript", 0, -74, -3, -8, -85
"c:\xampp\htdocs\fd\resources\js\ADMIN\products\productEPTypeMenu.js", "JavaScript", 0, -74, -3, -8, -85
"c:\xampp\htdocs\fd\resources\js\ADMIN\products\productList.js", "JavaScript", 0, -93, -12, -7, -112
"c:\xampp\htdocs\fd\resources\js\ADMIN\statistics\statisticsHelper.js", "JavaScript", 0, -64, 0, -1, -65
"c:\xampp\htdocs\fd\resources\js\ADMIN\testspace\c_test.js", "JavaScript", 0, -17, 0, -1, -18
"c:\xampp\htdocs\fd\resources\js\ADMIN\testspace\imap.js", "JavaScript", 0, -3, 0, -1, -4
"c:\xampp\htdocs\fd\resources\js\ADMIN\testspace\main.js", "JavaScript", 0, -52, -34, -7, -93
"c:\xampp\htdocs\fd\resources\js\ADMIN\testspace\stripe\stripeMain.js", "JavaScript", 0, -5, 0, -3, -8
"c:\xampp\htdocs\fd\resources\js\ADMIN\testspace\test_chartJS.js", "JavaScript", 0, -49, -2, -2, -53
"c:\xampp\htdocs\fd\resources\js\ADMIN\testspace\test_moonraker.js", "JavaScript", 0, 0, 0, -1, -1
"c:\xampp\htdocs\fd\resources\js\ADMIN\testspace\test_nesting.js", "JavaScript", 0, -84, -20, -11, -115
"c:\xampp\htdocs\fd\resources\js\Checkout\Checkout.js", "JavaScript", 0, -295, -3, -23, -321
"c:\xampp\htdocs\fd\resources\js\Checkout\CheckoutHelper.js", "JavaScript", 0, -103, -102, -24, -229
"c:\xampp\htdocs\fd\resources\js\Checkout\CheckoutRight.js", "JavaScript", 0, -127, -10, -15, -152
"c:\xampp\htdocs\fd\resources\js\Checkout\elements\drawCheckoutHead.js", "JavaScript", 0, -79, -2, -11, -92
"c:\xampp\htdocs\fd\resources\js\Checkout\elements\drawFastCheckout.js", "JavaScript", 0, -9, 0, 0, -9
"c:\xampp\htdocs\fd\resources\js\Checkout\elements\drawMobileProductOverview.js", "JavaScript", 0, -46, -11, -5, -62
"c:\xampp\htdocs\fd\resources\js\Checkout\elements\drawSavedInformation.js", "JavaScript", 0, -138, -3, -21, -162
"c:\xampp\htdocs\fd\resources\js\Codes\CouponCodes.js", "JavaScript", 0, -46, 0, -4, -50
"c:\xampp\htdocs\fd\resources\js\Converter\Converter.js", "JavaScript", 0, -139, -8, -18, -165
"c:\xampp\htdocs\fd\resources\js\Converter\ConverterCloseButtons.js", "JavaScript", 0, -198, -8, -11, -217
"c:\xampp\htdocs\fd\resources\js\Converter\ConverterHelper.js", "JavaScript", 0, -121, -20, -8, -149
"c:\xampp\htdocs\fd\resources\js\Converter\Converter_LeftBar.js", "JavaScript", 0, -91, -4, -8, -103
"c:\xampp\htdocs\fd\resources\js\Converter\DataStorage\C_Image.js", "JavaScript", 0, -61, -5, -3, -69
"c:\xampp\htdocs\fd\resources\js\Converter\DataStorage\C_Text.js", "JavaScript", 0, -49, 0, -2, -51
"c:\xampp\htdocs\fd\resources\js\Converter\DataStorage\DSController.js", "JavaScript", 0, -55, -1, -2, -58
"c:\xampp\htdocs\fd\resources\js\Converter\DataStorage\DSImage.js", "JavaScript", 0, -112, 0, -1, -113
"c:\xampp\htdocs\fd\resources\js\Converter\DataStorage\DSProject.js", "JavaScript", 0, -80, -8, -4, -92
